en-us	name	Dr. Anaïs Moreau and Mr. João da Silva met in São Paulo last spring.
en-us	name	Colonel Sanders, Queen Elizabeth II, and Saint Teresa all used titles.
en-us	name	O'Brien, García-Márquez, and Ngozi discussed the merger over coffee.
en-us	honorific	Ms. Dalloway, Dr. Watson, and Prof. Higgins arrived at noon.
en-us	honorific	Mrs. Danvers, Mr. Bean, and Sgt. Pepper asked for directions.
en-us	honorific	Rev. King, Capt. Ahab, and Gen. Lee signed the letter.
en-us	abbreviation	She read e.g. the first chapter, i.e. page 5, and noted the etc.
en-us	abbreviation	The U.S. and U.K. delegations met at approx. 8 a.m. ET.
en-us	abbreviation	Cf. appendix B: the fig. shows vol. 2, no. 3.
en-us	number	There were 1,204,567 people; 3.14159 is pi; and 0.5% is half.
en-us	number	Temperatures hit -40 degrees, then rose 15.5 degrees by 9:45.
en-us	number	The odds were 3 to 1, the answer 42, and 007 is Bond's number.
en-us	date	On 3/4/2024, or March 4th 2024, they met; it was the 21st of May.
en-us	date	By Dec. 25, 1999, the 2nd ed. was due; it shipped 06/07/2000.
en-us	date	The 1800s, the '90s, and 2024 C.E. all appear in the timeline.
en-us	currency	It cost $1,234.56, or €99.95, or £50.
en-us	currency	Prices rose from ¥10,000 to ¥12,500, and ₹750 became ₹900.
en-us	currency	He tipped 15% on a $45.00 bill and saved 20¢.
en-us	measurement	The room was 12 ft by 8 m; it weighed 2.5 kg and held 3 L.
en-us	measurement	Drive 5 mi north, then 300 m east; the parcel weighs 1 lb 4 oz.
en-us	measurement	It runs at 98.6°F, 3.5 mph, and draws 60 W.
en-us	roman-numeral	Chapter IV begins at line xlii; King Henry VIII ruled.
en-us	roman-numeral	Louis XIV met Elizabeth II; Pope Pius XII watched.
en-us	roman-numeral	Section 2.b, subsection iii, paragraph XIX was revoked.
en-us	dialogue	He said, "I can't — well, I won't." She replied, "Will you?"
en-us	dialogue	"Mind the gap," he said. "Mind it... every single time."
en-us	dialogue	— You came? — I did. And I brought the tickets, of course.
en-us	heading	CHAPTER ONE: An Unexpected Party
en-us	heading	PART TWO — The Road Goes Ever On
en-us	heading	Appendix A: Pronunciation Guide
en-us	footnote	See note 1 for details.¹
en-us	footnote	The claim is disputed.² Other scholars disagree.³
en-us	footnote	As shown in Table 2†, the trend holds.‡
en-us	page-furniture	Page 42 of 320 — continued from previous — end of chapter.
en-us	page-furniture	p. 137 of 512, lines 8-19, running head: The Fellowship
en-us	page-furniture	Page 89 — blank in the original — see p. 90.
en-us	url-code	Visit https://example.com/path?q=1&x=2 or email a@b.co.
en-us	url-code	The variable x_1 equals foo(bar, 2); if (a && b) return;
en-us	url-code	Run npm run build --watch, or open C:\Users\doc\README.md.
en-us	long-paragraph	The library had changed since his childhood, and not only in the way that all places change. Shelves that once held his grandfather's sermons now carried paperbacks with cracked spines, and the reading room smelled of damp plaster instead of pipe smoke. He walked the aisles slowly, pulling one book, then another, remembering which volumes his mother had read aloud on winter evenings. At the reference desk a woman answered a question about microfilm with a patience that made the hours feel deliberate. He found the town records at last, bound in green cloth, and sat down where the light was best. When he looked up, the windows had gone dark, and the janitor was waiting politely with his keys.
en-us	long-paragraph	The harbor wakes slowly in February, before the fish trucks and long before the tourists. Gulls argue over the pilings, and the first ferry grumbles in from the island with its lights still on. Old Andersson waves from the wheelhouse the way he has for thirty years, though nobody on the dock remembers when he started. The coffee stand opens at five, and the regulars claim they can smell the difference between Thursday's grind and Saturday's. By six the ice house is running, and the whole quay smells of diesel, salt, and newsprint. It is not a scene anyone photographs, which is precisely why it endures.
en-us	long-paragraph	Consider what a letter had to survive to reach its reader in the eighteen-forties. It waited for the mail coach, then for the steam packet, then for a carrier's cart over roads that dissolved into soup at the first rain. It might be read aloud twice at a crossroads inn before walking its last ten miles. The recipient paid by the sheet, so writers crossed their pages at right angles to double the words. Replies took weeks, and that slowness shaped the sentences themselves, which apologized in advance for their own delay. We call the result formal; it was really honest bookkeeping with distance.
en-us	speed-transition	Wait — no. That's... that's not right. Stop. Look. Go!
en-us	speed-transition	One. Two... three? No — four. Four, four, four.
en-us	speed-transition	He stopped. Turned. The road was gone. Gone.
en-gb	name	Dr. Priya Nair and Mr. Alistair MacLeod met in Edinburgh last spring.
en-gb	name	Smythe, O'Connell, and Featherstonehaugh discussed the matter over tea.
en-gb	name	Che Guevara, Florence Nightingale, and Saint Paul all appear in the index.
en-gb	honorific	Miss Havisham, Ms. Jones, and Dame Agatha arrived at noon.
en-gb	honorific	Mrs. Danvers, Mr. Darcy, and Rev. Collins argued about the estate.
en-gb	honorific	Sir Toby, Lady Bracknell, and Dr. Johnson signed the petition.
en-gb	abbreviation	She read e.g. the first chapter, i.e. page 5, and noted the etc.
en-gb	abbreviation	The BBC and ITV broadcast at approx. 9 p.m. GMT.
en-gb	abbreviation	Cf. appendix B: the fig. shows vol. II, no. 3.
en-gb	number	There were 1,204,567 people; 3.14159 is pi; and 0.5% is half.
en-gb	number	The match ended 2-1 before 76,212 fans; a 4th straight win.
en-gb	number	He scored 99.5 per cent and lost 8 of 9 frames in the snooker.
en-gb	date	On 3/4/2024, or 4 March 2024, they met; it was the 21st of May.
en-gb	date	The festival ran 5th-9th June; the bank holiday fell on 26 August 2024.
en-gb	date	On 11 November 1918 the armistice was signed; the 1910s had ended long before.
en-gb	currency	It cost £1,234.56, or €99.95, or $50.
en-gb	currency	The flask cost 45p, the ticket £12.50, and the book £8.99.
en-gb	currency	VAT added 20%: the bill went from £85 to £102.
en-gb	measurement	The room was 12 ft by 8 m; it weighed 2.5 kg and held 3 L.
en-gb	measurement	Drive 5 miles north, then 300 m east; the parcel weighs 14 st 2 lb.
en-gb	measurement	It runs at 37°C, 60 mph, and draws 60 W.
en-gb	roman-numeral	Chapter IV begins at line xlii; King Henry VIII ruled.
en-gb	roman-numeral	Edward VII and George VI followed Victoria; Elizabeth II outlasted them all.
en-gb	roman-numeral	Section 2.b, subsection iii, paragraph XIX was revoked.
en-gb	dialogue	He said, "I can't — well, I shan't." She replied, "Will you?"
en-gb	dialogue	"Mind the gap," he said. "Mind it... every single time."
en-gb	dialogue	— You came, then? — I did. And I brought the tickets, naturally.
en-gb	heading	CHAPTER ONE: An Unexpected Party
en-gb	heading	BOOK TWO — The Ring Goes South
en-gb	heading	Appendix A: A Note on Currency
en-gb	footnote	See note 1 for details.¹
en-gb	footnote	The claim is disputed.² Other scholars disagree.³
en-gb	footnote	As shown in Table 2†, the trend holds.‡
en-gb	page-furniture	Page 42 of 320 — continued from previous — end of chapter.
en-gb	page-furniture	p. 137 of 512, lines 8-19, running head: The Fellowship
en-gb	page-furniture	Page 89 — blank in the original — see p. 90.
en-gb	url-code	Visit https://example.co.uk/path?q=1&x=2 or email a@b.co.
en-gb	url-code	The variable colour_count equals foo(bar, 2); if (a && b) return;
en-gb	url-code	Run make all && make install, or see /usr/local/share/doc/README.
en-gb	long-paragraph	The fog came off the moor shortly after three, and by four the village had disappeared entirely. Mrs. Hutton insisted she could hear the church bell, though nobody else could, and she repeated this to anyone who would stand still long enough. The bus from Sheffield did not run, for the driver had telephoned to say the road past the reservoir was impassable. In the wool shop two women argued quietly about whether the vicar had done right to cancel the evening service. By six the lamps were lit, though their light scarcely reached beyond the posts they stood on. It was, the postmaster wrote in his diary, the thickest he had seen in forty-one years.
en-gb	long-paragraph	Nothing in the house worked as the guidebook promised, and this became the holiday's chief pleasure. The boiler knocked at half past four every morning like a steward rousing a camp. The piano in the hall played one flat note, always F sharp, in whatever key was attempted. Guests learned to bring torches, then to stop minding, then to prefer the dark staircase to the lit one. By the third evening the young barman knew every name, and the manageress had given up apologising for the wifi. One could not have bought that week with a fortnight at a hotel that functioned.
en-gb	long-paragraph	Cricket explains England better than most of its novels, though this is not the compliment it sounds. The game teaches a person to stand in a field for six hours awaiting a moment that lasts two seconds, and to find the arrangement entirely reasonable. Rain stops play, and the crowd accepts this with the patience of people who have waited for worse buses. Tea is taken as seriously as the score. A draw is remembered fondly for decades, like a war recounted from the comfortable side. Visitors find the whole business opaque, and the English rather like that too.
en-gb	speed-transition	Wait — no. That's... that's not right. Stop. Look. Go!
en-gb	speed-transition	One. Two... three? No — four. Four, four, four.
en-gb	speed-transition	He stopped. Turned. The lane was gone. Gone.
es	name	La Dra. Ibáñez y el Sr. Quiroga se conocieron en Sevilla un martes.
es	name	Ángel Muñoz, Peña Nieto y la viuda de Arratia firmaron el acuerdo.
es	name	El coronel Sanders, la reina Isabel II y Santa Teresa usaban títulos.
es	honorific	Sra. Delgado, Dr. Vidal y Srta. Rivas llegaron al mediodía.
es	honorific	El Sr. Ortega preguntó a la Prof. Salas por el Dr. García.
es	abbreviation	Leyó p. ej. el primer capítulo, es decir, la pág. 5, y anotó el etc.
es	abbreviation	Los EE. UU. y el Reino Unido se reunieron aprox. a las 8 a. m.
es	number	Había 1.204.567 personas; 3,14159 es pi; y 0,5 % es la mitad.
es	number	La temperatura bajó a −5 grados y subió 2,5 grados hacia las 9:45.
es	number	La probabilidad era de 3 a 1, la respuesta 42, y 0,5 % es medio punto.
es	date	El 3/4/2024, o el 4 de marzo de 2024, se vieron; era el 21 de mayo.
es	date	El 25 de diciembre de 1999 salió la 2.ª edición.
es	date	En 1999, el 25/12, llegó la segunda edición; el 21/5 la tercera.
es	currency	Costaba 1.234,56 $, o 99,95 €, o 50 £.
es	currency	Dejó una propina del 15 % sobre 45 € y ahorró 20 céntimos.
es	currency	El precio subió de 1.234,56 $ a 1.300 € en un mes.
es	measurement	La sala medía 12 pies por 8 m; pesaba 2,5 kg y cabían 3 l.
es	measurement	Condujo 5 km al norte a 90 km/h con 36 °C a la sombra.
es	measurement	Pesaba 14 st 2 lb y corría a 6 mph.
es	roman-numeral	El capítulo IV empieza en la línea xlii; el rey Felipe VI gobierna.
es	roman-numeral	Véase el apartado 2.b, subapartado iii, párrafo XIX.
es	roman-numeral	Luis XIV conoció a Isabel II; el papa Pío XII lo observó.
es	dialogue	Dijo: «No puedo — bueno, no quiero». Ella respondió: «¿Lo harás?»
es	dialogue	«Cuidado», dijo él. «Cuidado... siempre, siempre.»
es	dialogue	— ¿Viniste? —Vine. Y traje las entradas, claro.
es	heading	CAPÍTULO UNO: Una fiesta inesperada
es	heading	PARTE SEGUNDA — El camino continúa
es	heading	Apéndice A: Guía de pronunciación
es	footnote	Véase la nota 1 para más detalles.¹
es	footnote	La afirmación está discutida.² Otros estudiosos discrepan.³
es	footnote	Como muestra la tabla 2†, la tendencia se mantiene.‡
es	page-furniture	Página 42 de 320 — continuación de la anterior — fin del capítulo.
es	page-furniture	Pág. 137 de 512, líneas 8-19, cabecera: La Comunidad
es	page-furniture	Página 89 — en blanco en el original — véase la pág. 90.
es	url-code	Visite https://example.com/ruta?q=1&x=2 o escriba a a@b.co.
es	url-code	La variable x_1 equivale a foo(bar, 2); if (a && b) return;
es	url-code	Ejecute npm run build --watch, o abra C:\Users\doc\README.md.
